,soc,md_ocv,Li atomic fraction,Li weight fraction,mass per volume,electron per volume,TM atomic fraction,TM weight fraction,anion atomic fraction,anion weight fraction,expt_ocv,name,Li_num,cif_idx,original_md_ocv
0,-1.59991251245221,-2.4752441876745115,-1.482048239021607,-1.4802528523103433,-1.3948533017282112,-1.7350099160221883,-1.4735988754768201,-1.4762301619110623,-2.12478602229062,-2.0945099963481866,2.80,Li0.5Mn0.5Ti2(PO4)3,0,0,1.8301
1,-1.3704094394924036,-2.5829608654020713,-1.3567130922813582,-1.3463053721181424,-1.3948533017282112,-1.7350099160221883,-1.4735988754768201,-1.4762301619110623,-2.12478602229062,-2.0945099963481866,2.77,Li0.5Mn0.5Ti2(PO4)3,16,1,1.7252
2,-1.1450046356925934,-2.7286710328905435,-1.2331494670498055,-1.2129049610747977,-1.3948533017282112,-1.7350099160221883,-1.4735988754768201,-1.4762301619110623,-2.12478602229062,-2.0945099963481866,2.76,Li0.5Mn0.5Ti2(PO4)3,32,2,1.5833
3,-0.9155015627327866,-2.7011514240907473,-1.1113200681372926,-1.0800482744955653,-1.3948533017282112,-1.7350099160221883,-1.4735988754768201,-1.4762301619110623,-2.12478602229062,-2.0945099963481866,2.75,Li0.5Mn0.5Ti2(PO4)3,48,3,1.6101
4,-0.6900967589329766,-2.7831968249528263,-0.9911886399413298,-0.9477319949053365,-1.3948533017282112,-1.7350099160221883,-1.4735988754768201,-1.4762301619110623,-2.12478602229062,-2.0945099963481866,2.73,Li0.5Mn0.5Ti2(PO4)3,64,4,1.5302
5,-0.46059368597316985,-2.8748946259163253,-0.8727199304747231,-0.8159528317625053,-1.3948533017282112,-1.7350099160221883,-1.4735988754768201,-1.4762301619110623,-2.12478602229062,-2.0945099963481866,2.68,Li0.5Mn0.5Ti2(PO4)3,80,5,1.4409
6,-0.23518888217335976,-2.7731336844215573,-0.7558796568770731,-0.6847075211861918,-1.3948533017282112,-1.7350099160221883,-1.4735988754768201,-1.4762301619110623,-2.12478602229062,-2.0945099963481866,2.66,Li0.5Mn0.5Ti2(PO4)3,96,6,1.5400
7,-0.0056858092135531274,-2.6875969899057734,-0.6406344723387768,-0.5539928256867741,-1.3948533017282112,-1.7350099160221883,-1.4735988754768201,-1.4762301619110623,-2.12478602229062,-2.0945099963481866,2.60,Li0.5Mn0.5Ti2(PO4)3,112,7,1.6233
8,0.21971899458625696,-2.723844832839833,-0.5269519343704914,-0.4238055338996808,-1.3948533017282112,-1.7350099160221883,-1.4735988754768201,-1.4762301619110623,-2.12478602229062,-2.0945099963481866,2.44,Li0.5Mn0.5Ti2(PO4)3,128,8,1.5880
9,0.4492220675460636,-2.850763625662773,-0.41480047435464057,-0.2941424603224011,-1.3948533017282112,-1.7350099160221883,-1.4735988754768201,-1.4762301619110623,-2.12478602229062,-2.0945099963481866,2.38,Li0.5Mn0.5Ti2(PO4)3,144,9,1.4644
10,0.6787251405058704,-2.785763952639374,-0.30414936831893513,-0.1650004450546637,-1.3948533017282112,-1.7350099160221883,-1.4735988754768201,-1.4762301619110623,-2.12478602229062,-2.0945099963481866,2.35,Li0.5Mn0.5Ti2(PO4)3,160,10,1.5277
11,0.9041299443056803,-2.769334335445466,-0.194968708875066,-0.03637635354174302,-1.3948533017282112,-1.7350099160221883,-1.4735988754768201,-1.4762301619110623,-2.12478602229062,-2.0945099963481866,2.32,Li0.5Mn0.5Ti2(PO4)3,176,11,1.5437
12,1.1336330172654872,-2.9354788393188613,-0.08722937826874001,0.09173292367915328,-1.3948533017282112,-1.7350099160221883,-1.4735988754768201,-1.4762301619110623,-2.12478602229062,-2.0945099963481866,2.29,Li0.5Mn0.5Ti2(PO4)3,192,12,1.3819
13,1.359037821065297,-2.733907973371102,0.019096977509962032,0.21933047122945676,-1.3948533017282112,-1.7350099160221883,-1.4735988754768201,-1.4762301619110623,-2.12478602229062,-2.0945099963481866,2.26,Li0.5Mn0.5Ti2(PO4)3,208,13,1.5782
14,1.5885408940251038,-2.787612284573689,0.1240379736042512,0.34641934913681405,-1.3948533017282112,-1.7350099160221883,-1.4735988754768201,-1.4762301619110623,-2.12478602229062,-2.0945099963481866,2.17,Li0.5Mn0.5Ti2(PO4)3,224,14,1.5259
15,1.8139456978249138,-3.078005768476014,0.2276205102021741,0.47300259307971065,-1.3948533017282112,-1.7350099160221883,-1.4735988754768201,-1.4762301619110623,-2.12478602229062,-2.0945099963481866,2.05,Li0.5Mn0.5Ti2(PO4)3,240,15,1.2431
16,2.0434487707847206,-2.9186384816951056,0.3298707955255256,0.5990832146291742,-1.3948533017282112,-1.7350099160221883,-1.4735988754768201,-1.4762301619110623,-2.12478602229062,-2.0945099963481866,1.91,Li0.5Mn0.5Ti2(PO4)3,256,16,1.3983
17,2.2688535745845306,-3.0927924239505313,0.4308143679373966,0.7246642014876107,-1.3948533017282112,-1.7350099160221883,-1.4735988754768201,-1.4762301619110623,-2.12478602229062,-2.0945099963481866,1.78,Li0.5Mn0.5Ti2(PO4)3,272,17,1.2287
18,0.19512937962627763,0.7102532160093411,-0.2852801145649603,-0.1856311833813246,-0.6505789390811597,-0.593848913287775,-0.7685731377229003,-0.6533198910504012,-0.37242759919810065,-0.1625839327430031,4.05,Li0.94FePO3.84N0.16,42,14,4.9323
19,0.32217572358617047,-0.2465666153208806,-0.20599112909371237,-0.09511497240690436,-0.6505789390811597,-0.593848913287775,-0.7685731377229003,-0.6533198910504012,-0.37242759919810065,-0.1625839327430031,3.68,Li0.94FePO3.84N0.16,45,15,4.0005
